Sample_ID,Alternative Number,Source,Species,Country,State/Province,County,Locality,Longitude,Latitude,Retained Reads,pop
MSB236698,,MSB,P. steerei,Bolivia,Pando,No information,La Cruz,-68.84981,-11.35059,3024333,BOL_GC2
MSB236689,,MSB,P. steerei,Bolivia,Pando,No information,"Opposite Independencia, Right bank Rio Madre de Dios",-67.56023,-11.49004,1035894,BOL_GC2
MSB236807,,MSB,P. steerei,Bolivia,Beni,No information,Boca del rio biata,-66.77966,-11.74947,1548164,BOL_GC2
USNM619002,LHE0747,NMNH,P. steerei,Bolivia,La Paz,No information,No information,-68.7667,-13.5833,632498,BOL_GC2
MVZ194874,MPEG28572,MVZ,P. steerei,Brazil,Acre,Porto Walter,"Sobral, margem esquerda Rio Jurua",-72.81662,-8.36666,2871602,BOL_GC2
MVZ194879,MPEG28575,MVZ,P. steerei,Brazil,Acre,Porto Walter,"Nova Vida, right bank, Rio Jurua",-72.81667,-8.36666,2156581,BOL_GC2
MVZ195034,MPEG28562,MVZ,P. steerei,Brazil,Amazonas,Itamarati,"Jainu, right bank, Rio Jurua",-68.76667,-6.46669,863864,JUR_GC3
MVZ195036,MPEG28564,MVZ,P. steerei,Brazil,Amazonas,Itamarati,"Jainu, right bank, Rio Jurua",-68.76667,-6.46669,2850750,JUR_GC3
MVZ194909,MPEG28486,MVZ,P. steerei,Brazil,Amazonas,Ipixuna,"Igarape Nova Empresa, left bank, Rio Jurua",-70.73359,-6.80001,2429956,JUR_GC3
MVZ194914,MPEG28491,MVZ,P. steerei,Brazil,Amazonas,Ipixuna,"Igarape Nova Empresa, left bank, Rio Jurua",-70.73359,-6.80001,3432116,JUR_GC3
MVZ194987,MPEG28540,MVZ,P. steerei,Brazil,Amazonas,No information,"Penedo, right bank Rio Jurua",-70.75008,-6.83344,2835589,JUR_GC3
MVZ194997,MPEG28543,MVZ,P. steerei,Brazil,Amazonas,Ipixuna,"Sacado (Condor), margem direita, Rio Jurua",-70.85003,-6.75,2121592,JUR_GC3
MVZ190951,,MVZ,P. steerei,Brazil,Amazonas,No information,"Ilhazinha, left bank Rio Jurua on Igarape Arabidi, affluent of Parana Breu",-66.2333,-3.2833,2427383,JUR_GC3
MVZ190954,,MVZ,P. steerei,Brazil,Amazonas,No information,"Ilha Paxiuba, right bank Rio Jurua",-66,-3.31667,1034209,JUR_GC3
MJ252,,MZUSP,P. steerei,Brazil,Rondonia,Porto Velho,"Abun?, margem direita do Rio Madeira, Fortaleza do Abun?",-65.34884,-9.59557,2285702,MAD_GC1
MJ391,,MZUSP,P. steerei,Brazil,Rondonia,Porto Velho,"Cai?ara, margem esquerda do Rio Madeira, Mutum Paran?, UHE Jirau",-64.83327,-9.43604,2150866,MAD_GC1
MJ601,,MZUSP,P. steerei,Brazil,Rondonia,Porto Velho,"Mutum, margem esquerda do Rio Madeira, Mutum Paran?, UHE Jirau",-65.0713,-9.56918,2522225,MAD_GC1
EFA004,,LMUSP,P. steerei,Brazil,Amazonas,Beruri,"Rio Purus, margem direita, Comunidade de Itapuru, Igarap? Ubim",-61.82882,-4.35058,2313861,MAD_GC1
EFA015,,LMUSP,P. steerei,Brazil,Amazonas,Beruri,"Rio Purus, margem direita, Comunidade de Itapuru, Igarap? Xaviana",-61.82744,-4.40803,1516978,MAD_GC1
MVZ168942,,MVZ,P. steerei,Peru,Madre de Dios,No information,"Albergue Cusco Amazonica, Rio Madre de Dios, ca. 12 Km E Puero Maldonado",-69.07289,-12.6,1875324,BOL_GC2
